./exvr_fetcher exvr_fetcher.cfg
Log_Util::load_log_masks(): All Modules: ods_utils, vrspider, platform, ods_utils_util
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] [ConfigManager::loadOptions] FetchTaskNum: 8
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] [ConfigManager::loadOptions] MysqlHandleNum: 1
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] [ConfigManager::loadOptions] OnlineTaskNum: 3
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] [ConfigManager::loadOptions] UrlupdateTaskNum: 8
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] [ConfigManager::loadOptions] WriteTaskNum: 6
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] [ConfigManager::loadOptions] updateDeleteNum: 6
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] [ConfigManager::loadOptions] load UrlTransformServers is ok: 10.12.141.66:9096
[vrspider:LM_INFO] [20170124 16:14:31] [cf76e860] [CWriteTask::open ]load vr_resource configiguration: 10.139.22.134 root root open_data
[vrspider:LM_INFO] [20170124 16:14:31] [cf76e860] [CWriteTask::open]load vr_info configiguration: 10.139.22.134 root root ubs_spider
[vrspider:LM_INFO] [20170124 16:14:31] [cf76e860] [CWriteTask::open]load cr_info configiguration: 10.139.22.134 root root external
[vrspider:LM_INFO] [20170124 16:14:31] [cf76e860] cycy spider_type:5 res_priority:0
[vrspider:LM_INFO] [20170124 16:14:31] [cf76e860] [CWriteTask::open ]load ValidateCount configiguration: data/base/schemaFileXX.xsd data/base/lengthFileX
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] [load_location] list data/location.dat begin
 [vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒▒ 110000[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒ 120000[vrspider:LE] [20170124 16:14:31] [cf76e860] location ▒ӱ▒ 130000[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒ӱ▒    ʯ▒▒ׯ 130100
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒ӱ▒ ▒▒ɽ 130200
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒ӱ▒ ▒ػʵ▒ 130300
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒ӱ▒ ▒▒▒▒ 130400
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒ӱ▒ ▒▒̨ 130500
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒ӱ▒ ▒▒▒▒ 130600
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒ӱ▒ ▒żҿ▒ 130700
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒ӱ▒ ▒е▒ 130800
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒ӱ▒ ▒▒▒▒ 130900
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒ӱ▒ ▒ȷ▒ 131000
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒ӱ▒ ▒▒ˮ 131100
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ɽ▒▒ 140000[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ɽ▒▒   ̫ԭ 140100
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ɽ▒▒ ▒▒ͬ 140200
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ɽ▒▒ ▒▒Ȫ 140300
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ɽ▒▒ ▒▒▒▒ 140400
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ɽ▒▒ ▒▒▒ 140500
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ɽ▒▒ ˷▒▒ 140600
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ɽ▒▒ ▒▒▒▒ 140700
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ɽ▒▒ ▒˳▒ 140800
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ɽ▒▒ ▒▒▒▒ 140900
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ɽ▒▒ ▒ٷ▒ 141000
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ɽ▒▒ ▒▒▒ 141100
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒ɹ▒ 150000[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒ɹ▒       ▒▒ͺ▒▒▒ 15
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒ɹ▒       ▒▒ͷ 150200
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒ɹ▒       ▒ں▒ 150300
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒ɹ▒       ▒▒▒ 150400
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒ɹ▒       ͨ▒▒ 150500
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒ɹ▒       ▒▒▒▒˹ 150600
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒ɹ▒       ▒▒▒ױ▒▒▒ 150700
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒ɹ▒       ▒▒▒▒▒׶▒ 150800
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒ɹ▒       ▒▒▒▒첼 150900
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒ɹ▒       ▒˰▒▒▒ 152200
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒ɹ▒       ▒▒▒ֹ▒▒▒▒▒ 152500
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒ɹ▒       ▒▒▒▒▒▒▒ 152900
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒▒ 210000[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒▒ ▒▒▒▒ 210100
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒▒        ▒▒▒ 210200
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒▒        ▒▒ɽ 210300
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒▒        ▒▒˳ 210400
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒▒        ▒▒Ϫ 210500
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒▒        ▒▒▒▒ 210600
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒▒        ▒▒▒▒ 210700
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒▒        Ӫ▒▒ 210800
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒▒        ▒▒▒▒ 210900
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒▒        ▒▒▒▒ 211000
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒▒        ▒̽▒ 211100
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒▒        ▒▒▒▒ 211200
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒▒        ▒▒▒▒ 211300
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒▒        ▒▒«▒▒ 211400
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒▒ 220000[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒▒ ▒▒▒▒ 220100
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒▒        ▒▒▒▒ 220200
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒▒        ▒▒ƽ 220300
